Internal ID,Date,Document Number,Name,Zip Code,Terms,Item,Memo,Quantity,PO Unit Cost,Amount,Last Purchase Price,Location,Expense/COGS Account,Part Class,Status,Fulfilled/Received (Line Level),Expected Receipt Date
516829,7/26/2021,RP-400-PO,HOWMET FASTENING SYSTEMS (ARCONIC),60677-7003,Net 15,C6LB-U8-4,"HUCK PIN  # C6LB-U8-4 // (TRINITY# 063-38135) *** BRAZIER HEAD 1/4"" PIN",8240,.25294546,2084.27,.24,New Albany (RL),Cost of Goods Sold-Mfg,40HK - RAIL HOOD HARDWARE,Pending Receipt,No,12/30/2021
465436,1/19/2021,LV-3775-PO,ERL COMMERCIAL MARINE,47151-1026,Due on Receipt,LV-EQ14,"VITON O-RING OUTER 2.5VL 2.5 QUADRING PRESSURE FOR EQUATE VALVE, VITON (WHITE DOT), GROTENRATH Q4-335",13,26.35,342.55,25.67,Texas (LV),Cost of Goods Sold-Mfg,LVRP - Law Valve Resale Products,Fully Billed,Yes,12/22/2021
494145,4/29/2021,MAR-8191-PO,ALRO STEEL CORP,60673-1248,Net 60,30RTB7/16TUBE ALUM,".438"" OD X .035 WALL X 12FT   6061-T6 ALUM. used for DS-39 stick",1296,2.17,2812.32,2.17,New Albany (CM),Cost of Goods Sold-Mfg,30RS - Marine Raw Stock,Pending Billing/Partially Received,No,12/10/2021
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,12/3/2021
512867,7/11/2021,MAR-8575-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,115.29,5764.50,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,12/3/2021
472003,2/9/2021,MAR-7851-PO,CTG GASKET INC.,75265-0998,Net 30,V171J,-254 O-RING Perfluoroelastomer (FFKM) - 75 DURO PV VALVE LOW PRESSURE: ALT: KALREZ 4079,10,262.11,2621.10,262.11,New Albany (CM),Cost of Goods Sold-Mfg,30PV - MAR Pv-6-II COMPONENT PARTS,Pending Receipt,No,12/1/2021
515915,7/21/2021,LV-4497-PO,CTG GASKET INC.,75265-0998,Net 30,LV-V171K,-254 O-RING Perfluoroelastomer (FFKM) - 90 DURO PV VALVE HIGH PRESSURE:  ALT: KALREZ 7090   ,15,262.11,3931.65,244.00,Texas (LV),Cost of Goods Sold-Resale Itms,Law Valve -BOM component,Pending Receipt,No,11/24/2021
488891,4/13/2021,MAR-8109-PO,ADAMS MAGNETIC PRODUCTS CO.,60126,Net 30,D17,"INTERNAL MAGNET; NEW STD; NEO3820  1/2"" DIA. x 1"" NICKEL PLATE; MAGNETIZED THROUGH 1"" LENGTH TO SATURATION ; GRADE 38SH ; 50R0040, Standard DS-39",250,5.79,1447.50,5.79,New Albany (CM),Cost of Goods Sold-Mfg,30DP - DIPSTICK COMPONENT,Partially Received,No,11/15/2021
517936,7/29/2021,MAR-8672-PO,BLUE CHIP ENGINEERED PRODUCTS,41018,Net 30,SP4D,"Wing Nut, brass1/2-13 RIGHT HAND THREAD",500,1.57,785.00,1.46,New Albany (CM),Cost of Goods Sold-Mfg,30SP - Mar Scupper Plug,Pending Receipt,No,11/1/2021
494145,4/29/2021,MAR-8191-PO,ALRO STEEL CORP,60673-1248,Net 60,30RTB7/16TUBE ALUM,".438"" OD X .035 WALL X 12FT   6061-T6 ALUM. used for DS-39 stick",1296,2.17,2812.32,2.17,New Albany (CM),Cost of Goods Sold-Mfg,30RS - Marine Raw Stock,Pending Billing/Partially Received,Yes,10/29/2021
489705,4/15/2021,LV-4073-PO,METALLIZED CARBON CORPORATION,10562,Net 45,LV-DWP40-12,"UPPER SHAFT BUSHING, DWG 258AA075B // REV. 3 2.362"" OD X 1.948"" ID X 4.25"" M-130 MATERIAL",20,73.45,1469.00,73.45,Texas (LV),Cost of Goods Sold-Mfg,LVRP - Law Valve Resale Products,Fully Billed,Yes,10/22/2021
441464,11/2/2020,MAR-7342-PO,"BARKER ENTERPRISES, INC",60538,Net 30,L40,"NEW LFA SWITCH; ITEM PRX+10001, COMPLETE ASSEMBLY HERMETIC 70",200,34.06,6812.00,34.06,New Albany (CM),Cost of Goods Sold-Mfg,30LV - Level Alert Components,Partially Received,No,10/19/2021
441464,11/2/2020,MAR-7342-PO,"BARKER ENTERPRISES, INC",60538,Net 30,L40,"NEW LFA SWITCH; ITEM PRX+10001, COMPLETE ASSEMBLY HERMETIC 70",200,34.06,6812.00,34.06,New Albany (CM),Cost of Goods Sold-Mfg,30LV - Level Alert Components,Partially Received,No,10/19/2021
518303,7/30/2021,MAR-8682-PO,RIMER ENTERPRISES,43566-0027,Due 15th of Month,SB7-150,"Packing Gland, STUFFING BOX 1-1/2"" & 1-5/8"" COMPLETE PACKING RETAINER, 303SS // DWG 177G125B (RIMER)",100,16.80,1680.00,15.64,New Albany (CM),Cost of Goods Sold-Mfg,30SB - MAR STUFFING BOX COMPONENTS,Pending Receipt,No,10/18/2021
499563,5/19/2021,MAR-8300-PO,GST RACING SEALS,SO14 67L,Due at Shipment,MS7A-LS-12,"VITON SEAL, PTFE LIP COATED , FOR 12"" ( MS-2250 ) MECHANICAL SEAL ASS. DWG 037AC170B",80,25.25,2020.00,25.25,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Billing/Partially Received,No,10/15/2021
515915,7/21/2021,LV-4497-PO,CTG GASKET INC.,75265-0998,Net 30,LV-V171K,-254 O-RING Perfluoroelastomer (FFKM) - 90 DURO PV VALVE HIGH PRESSURE:  ALT: KALREZ 7090   ,15,262.11,3931.65,244.00,Texas (LV),Cost of Goods Sold-Resale Itms,Law Valve -BOM component,Pending Receipt,No,10/13/2021
516510,7/23/2021,LV-4508-PO,TEXAS GAUGE & CONTROLS INC,77061,Net 30,LV-GAUGE 40SV-3-0-7PSI-ERL2,"4 Inch GAUGE, HD, 316SS,1/4 NPT BTM CONN, VIBRAGAUGE, RANGE -3-0-7 PSI,  W/ ERL LOGO,  40SV ERL2",120,70.67,8480.40,70.877,Texas (LV),Cost of Goods Sold-Resale Itms,LVG - LV Resale Gauges and Valves,Pending Receipt,No,10/13/2021
516510,7/23/2021,LV-4508-PO,TEXAS GAUGE & CONTROLS INC,77061,Net 30,LV-GAUGE 41SV-200-ERL2,"41SV-200 STWT 0-200 PSI 1/2"" NPT 4"" F VBRA",140,70.67,9893.80,70.821,Texas (LV),Cost of Goods Sold-Resale Itms,LVG - LV Resale Gauges and Valves,Pending Receipt,No,10/13/2021
443846,11/10/2020,MAR-7397-PO,,53066,Net 30,MS26A-10-MB,"METAL BELLOWS ASSEMBLY, DWG # 046AD140B",35,350.00,12250.00,350.00,New Albany (CM),Cost of Goods Sold-Resale Itms,PUMP - COMPONENT PARTS,Partially Received,No,10/11/2021
516863,7/26/2021,MAR-8653-PO,LECTRO COMPONENTS,60108,Net 30,M80B,"CIRCUIT PROTECTOR NRAN2100-5A-AA , IDEC, Double throw",30,28.47,854.10,28.47,New Albany (CM),Cost of Goods Sold-Mfg,30AP - MAR APM COMPONENT PARTS,Pending Receipt,No,10/11/2021
516863,7/26/2021,MAR-8653-PO,LECTRO COMPONENTS,60108,Net 30,M81B,"CIRCUIT PROTECTOR SOCKET, IDEC NR22, Double Throw",30,4.27,128.10,4.27,New Albany (CM),Cost of Goods Sold-Mfg,30AP - MAR APM COMPONENT PARTS,Pending Receipt,No,10/11/2021
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ2,"TOP RETAINER FOR 2.5"" EQUATE VALVE, DWG 167P085B",50,15.57,778.50,17.07,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,10/8/2021
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ2,"TOP RETAINER FOR 2.5"" EQUATE VALVE, DWG 167P085B",50,15.57,778.50,17.07,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,10/8/2021
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ3,"MAIN BODY FOR 2.5"" EQUATE VALVE, DWG 176P075B",50,69.08,3454.00,72.56,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,10/8/2021
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ3,"MAIN BODY FOR 2.5"" EQUATE VALVE, DWG 176P075B",50,69.08,3454.00,72.56,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,10/8/2021
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ4,"FOLLOWER FOR 2.5"" EQUATE VALVE, DWG#175P085B",50,31.11,1555.50,32.30,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,10/8/2021
495696,5/4/2021,MAR-8216-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,EQ4,"FOLLOWER FOR 2.5"" EQUATE VALVE, DWG#175P085B",50,31.11,1555.50,32.30,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Receipt,No,10/8/2021
518106,7/29/2021,LV-4528-PO,TEXAS GAUGE & CONTROLS INC,77061,Net 30,LV-GAUGE 32B-160-CB,"2"" DIAL PRESSURE GAUGE, 304SS, BRASS/BRONZE INTERNALS, 1/4"" NPT, CENTER BACK CONNECTION, GLYCERIN FILLED 0-160 PSIG/BAR/X 100KPA",30,13.40,402.00,13.40,Texas (LV),Cost of Goods Sold-Mfg,LVRS - Law Valve Raw Stock,Pending Receipt,No,10/8/2021
417066,8/24/2020,MAR-6948-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,109.80,5490.00,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Billing/Partially Received,No,10/4/2021
417066,8/24/2020,MAR-6948-PO,GUARDIAN WORLDWIDE LLC,77041,Net 30,MP18-CT,"CASTING FOR BEARING HOUSING OBAF, (FIXED BEARING) DWG# 172AB075B // 303 SS ",50,109.80,5490.00,109.80,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Billing/Partially Received,No,10/4/2021
502813,6/3/2021,MAR-8362-PO,,53066,Net 30,MS26A-10-MB,"METAL BELLOWS ASSEMBLY, DWG # 046AD140B",35,350.00,12250.00,350.00,New Albany (CM),Cost of Goods Sold-Resale Itms,PUMP - COMPONENT PARTS,Pending Receipt,No,10/4/2021
512680,7/9/2021,MAR-8562-PO,ROW INC.,60101,Net 30,MS13A-12,"COMPOUND 6375 O-RING (-226) KALREZ FOR 12"" MECHANICAL SEAL ASS. ( ERL-2250 ) McM # 9568K646",30,79.00,2370.00,79.00,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,10/1/2021
507557,6/21/2021,RP-385-PO,HOWMET FASTENING SYSTEMS (ARCONIC),60677-7003,Net 15,3LC-2R12GA,"3/8"" HUCK COLLARS  (TRINITY 063-38139 ), RAILHOODS TK1",6000,.07,420.00,.07,New Albany (RL),Cost of Goods Sold-Mfg,40HK - RAIL HOOD HARDWARE,Pending Billing/Partially Received,No,9/30/2021
507557,6/21/2021,RP-385-PO,HOWMET FASTENING SYSTEMS (ARCONIC),60677-7003,Net 15,C6LB-U8-4,"HUCK PIN  # C6LB-U8-4 // (TRINITY# 063-38135) *** BRAZIER HEAD 1/4"" PIN",6600,.231,1524.60,.24,New Albany (RL),Cost of Goods Sold-Mfg,40HK - RAIL HOOD HARDWARE,Pending Billing/Partially Received,No,9/24/2021
517104,7/27/2021,MAR-8658-PO,ROW INC.,60101,Net 30,R23,"RD SG O-RING INNER 7.962"" ID x .177"" CS FEP/ HOLLOW SILICONE O'RING",60,8.87,532.20,8.87,New Albany (CM),Cost of Goods Sold-Mfg,30SG - MAR SIGHT GLASS COMPONENTS,Pending Receipt,No,9/22/2021
517104,7/27/2021,MAR-8658-PO,ROW INC.,60101,Net 30,R24,"RD SG O-RING 8.346"" ID x .177"" CS FEP/ HOLLOW SILICONE O'RING",60,9.27,556.20,9.27,New Albany (CM),Cost of Goods Sold-Mfg,30SG - MAR SIGHT GLASS COMPONENTS,Pending Receipt,No,9/22/2021
503724,6/4/2021,MAR-8369-PO,,53066,Net 30,MS8A-12,"SEAL FACE, FOR 12"" MECHANICAL SEAL ( ERL-2250 ), 2.09"" x 2.684"" x .745"", DWG 350AB125B // PUMP - Alpha Cintered SiC w/matte lap finish",50,106.50,5325.00,106.50,New Albany (CM),Cost of Goods Sold-Mfg,PUMP - COMPONENT PARTS,Pending Receipt,No,9/20/2021
516505,7/23/2021,LV-4507-PO,"AWC, INC",75397-4800,Net 30,"LV-NITROGEN REGULATOR 5-14"" WC","MODEL 1078 REV B PILOT OPERATED TANK BLANKETING VALVE VACU-GARD;1"" SIZE; HORIZONTAL OUTLET POSITION, REMOTE SENSING; SS BODY/TRIM, CS DIAPHRAGM CASES, SS FITTINGS/TUBING; NO PRESSURE GAUGES; 1"" CLASS 150 THREADED FLANGE END CONNECTIONS; 100% FLOW PLUG; FKM SOFT SEATS/SEALS; SPRING RANGE 5"" - 14"" WC ALUM/ZINC EXTERNAL PILOT FILTER SUPPLY PRESSURE 100 PSIG SET PRESSURE 10"" WC",1,5018.00,5018.00,,Texas (LV),Cost of Goods Sold-Mfg,LVRP - Law Valve Resale Products,Pending Receipt,No,9/20/2021
516548,7/23/2021,MAR-8641-PO,WOODLAWN RUBBER CO.,45241,Net 30,SP1-2.0,"2.0"" RUBBER SCUPPER PLUG, **NEEDS TO BE A DUROMETER OF 50 OR SOFTER**, PER APPROVED SAMPLES //3060-2, 306U090D",1000,2.83,2830.00,2.60,New Albany (CM),Cost of Goods Sold-Mfg,30SP - Mar Scupper Plug,Pending Receipt,No,9/20/2021
505538,6/14/2021,LV-4320-PO,BATTERIES PLUS BLUBS,46962,Net 30,LV-M304,"DURACELL ULTRA DEEP CYCLE AGM SLA BATTERY 12V 35AH, 24.75 lbs 7.67""X5.13""X7.09""",5,68.40,342.00,68.40,Texas (LV),Cost of Goods Sold-Resale Itms,LVRP - Law Valve Resale Products,Pending Bill,Yes,9/18/2021
494145,4/29/2021,MAR-8191-PO,ALRO STEEL CORP,60673-1248,Net 60,30RTB7/16TUBE ALUM,".438"" OD X .035 WALL X 12FT   6061-T6 ALUM. used for DS-39 stick",1296,2.17,2812.32,2.17,New Albany (CM),Cost of Goods Sold-Mfg,30RS - Marine Raw Stock,Pending Billing/Partially Received,Yes,9/17/2021
514000,7/14/2021,RP-394-PO,"EAGLE PRECISION CST PARTS,INC.",49442,Net 30,VVN25S4VB-BL,"2.5 VAC VALVE ""CASTING"", Hex 304, DWG 237O131B-2A Rev 3 and 237O131B-2B Rev 2  (23.90 each plus material surcharge of $6.71 per casting)",250,30.61,7652.50,27.81,New Albany (RL),Cost of Goods Sold-Mfg,40VV - VAC VALVE COMPONENTS,Pending Receipt,No,9/17/2021
517208,7/28/2021,LV-4517-PO,PUFFER SWEIVEN,75303,Net 30,LV-Y692-1312-1185243,"VALVE SIZE:NPS 2               BODY MATERIAL:CAST IRON NACE:NO END CONNECTION:NPT ORIFICE/PORT:1 DISK/SEAT MATERIAL:SST/NBR SPRING RANGE:6.5 INCH WC TO 1.2 PSI DIAPHRAGM MATERIAL:NBR PTFE PROTECTOR:NO PRESSURE REGISTRATION:INTERNAL SPRING CASE MATERIAL:CAST IRON LOWER CASING MATERIAL:CAST IRON SST BOLTING:NO CUSTOMER SPECIAL:NOT APP SET POINT OVER 1.2 PSI:NOT APP TYPE:Y692 SPRING PART NUMBER:0B0194 SPRING COLOR:GREEN INSTALL SPRING CASE:DOWN CLOSING CAP MATERIAL:ZINC MAX INLET PRESSURE:14 PSIG FACE TO FACE DIMENSION:5.88 INCHES O-RING MATERIAL:NOT APP RATING:NOT APP BWE SCHEDULE:NOT APP SUPPLEMENTAL ATTRIBUTE:NOT APP-2""FISHER REGULATOR",1,2737.00,2737.00,2737.00,Texas (LV),Cost of Goods Sold-Mfg,LVRP - Law Valve Resale Products,Pending Receipt,No,9/17/2021
512590,7/8/2021,MAR-8556-PO,NORTH COAST SEAL INC,44142,Net 30,EQ58-A,"8"" QUADRING VACUUM FOR EQUATE VALVE, VITON (WHITE DOT), GROTENRATH 75-Q4-348",7,8.50,59.50,4.75,New Albany (CM),Cost of Goods Sold-Mfg,30EQ - Mar Equate Valve,Pending Billing/Partially Received,No,9/10/2021
507833,6/22/2021,LV-4363-PO,"AWC, INC",75397-4800,Net 30,LV-GAUGE 41SV-200-ERL2,"41SV-200 STWT 0-200 PSI 1/2"" NPT 4"" F VBRA  WIKA pn: 52819078",150,71.37,10705.50,70.821,Texas (LV),Cost of Goods Sold-Resale Itms,LVG - LV Resale Gauges and Valves,Pending Receipt,No,9/9/2021
516562,7/23/2021,MAR-8642-PO,PIVOT POINT,53034-0488,Net 30,SP2A,"Std-Lanyard, Clear, 1/16""x 12""- S/S TYPE 3 LANYARD WITH .260"" HOLE EYE & .500"" HOLE EYE (1/4"" SMASHED TO ALLOW SPACE FOR WING NUT) NYLON COATED, DWG 313U165D, STANDARD LANYARD ( L62N-1200S-3E1 )",3000,3.29,9870.00,3.29,New Albany (CM),Cost of Goods Sold-Mfg,30SP - Mar Scupper Plug,Pending Receipt,No,9/9/2021
511942,7/7/2021,MAR-8543-PO,RIMER ENTERPRISES,43566-0027,Due 15th of Month,SB7-150,"Packing Gland, STUFFING BOX 1-1/2"" & 1-5/8"" COMPLETE PACKING RETAINER, 303SS // DWG 177G125B (RIMER)",130,16.80,2184.00,15.64,New Albany (CM),Cost of Goods Sold-Mfg,30SB - MAR STUFFING BOX COMPONENTS,Pending Receipt,No,9/8/2021
504520,6/8/2021,MAR-8382-PO,"NADCO TAPES & LABELS, INC.",34243,Net 30,D21A,"12"" TO 0""  INCREMENTAL MARKING TAPE (250FT IN A ROLL KAPTON MATERIAL), 129O085B, DESCENDING // DS39  (1) ROLL **CLEAR BACKER APPROVED FOR THIS LINE ITEM - DELIVERY IN 09-06-2021  ",250,1.20,300.00,,New Albany (CM),Cost of Goods Sold-Mfg,30DP - DIPSTICK COMPONENT,Partially Received,No,9/6/2021
504520,6/8/2021,MAR-8382-PO,"NADCO TAPES & LABELS, INC.",34243,Net 30,D21B,"25"" TO 13"" INCREMENTAL MARKING TAPE (250FT IN A ROLL KAPTON MATERIAL) DWG: 129O084B, DESCENDING   (1) ROLL **CLEAR BACKER APPROVED FOR THIS LINE ITEM - DELIVERY IN 09-06-2021",250,1.20,300.00,,New Albany (CM),Cost of Goods Sold-Mfg,30DP - DIPSTICK COMPONENT,Partially Received,No,9/6/2021
